test_name,matrix_size,processes,sequential_time,parallel_time,speedup,efficiency
Matrix 500x500 with 1 processes,500,1,0.003300905227661133,0.0022063255310058594,1.496109790360925,149.61097903609252
Matrix 500x500 with 2 processes,500,2,0.0021355152130126953,0.659942626953125,0.0032359104046242775,0.16179552023121388
Matrix 500x500 with 4 processes,500,4,0.0019996166229248047,0.6772050857543945,0.002952748975145789,0.07381872437864473
Matrix 500x500 with 8 processes,500,8,0.004906654357910156,1.1825470924377441,0.004149225336807016,0.0518653167100877
Matrix 1000x1000 with 1 processes,1000,1,0.01602315902709961,0.01483011245727539,1.0804475740329893,108.04475740329893
Matrix 1000x1000 with 2 processes,1000,2,0.013174772262573242,0.7694754600524902,0.01712175754334585,0.8560878771672924
Matrix 1000x1000 with 4 processes,1000,4,0.016755104064941406,0.9244861602783203,0.018123693771572757,0.45309234428931894
Matrix 1000x1000 with 8 processes,1000,8,0.024335384368896484,1.4444241523742676,0.01684781047789548,0.21059763097369352
Matrix 1500x1500 with 1 processes,1500,1,0.043853044509887695,0.03904294967651367,1.1232000879346353,112.32000879346353
Matrix 1500x1500 with 2 processes,1500,2,0.03853797912597656,0.7528989315032959,0.05118612540600725,2.5593062703003624
Matrix 1500x1500 with 4 processes,1500,4,0.03880763053894043,0.8244225978851318,0.04707249733145665,1.1768124332864163
Matrix 1500x1500 with 8 processes,1500,8,0.03871035575866699,1.293306827545166,0.029931300859319956,0.37414126074149945
